work_order_id,program,part_category,production_cell,priority_level,status,planned_start_date,planned_completion_date,forecast_completion_date,days_behind_schedule,material_available,supplier_delay_days,inspection_hold,quality_hold,rework_hours,defect_count,machine_availability_pct,labor_capacity_pct,estimated_cost_impact,delivery_risk_score,risk_category,primary_risk_driver,late_delivery_flag,late_delivery_probability,late_delivery_prediction
WO-0033,Horizon ISR,Flight Control Subassembly,Cell E,High,Inspection,2026-05-24,2026-06-13,2026-06-07,0,True,0,False,False,4,0,76.2,93.1,574.6,21.6,Low,Priority Pressure,0,0.3960723984271999,0
WO-0034,Atlas Comms,Ground Support Bracket,Cell D,Medium,In Progress,2026-04-11,2026-05-11,2026-05-04,0,True,0,False,False,0,0,73.3,86.6,0.0,15.0,Low,Machine Capacity,0,0.39738134725537827,0
WO-0035,Falcon Shield,Ground Support Bracket,Cell D,Low,In Progress,2026-04-21,2026-05-09,2026-04-30,0,True,0,False,True,12,3,98.2,72.2,3889.47,45.4,Medium,Quality / Rework,0,0.41594595796291056,0
WO-0036,Orion Sensor,Guidance Assembly,Cell E,Medium,Material Hold,2026-05-08,2026-06-03,2026-05-30,0,False,22,False,False,0,1,84.4,100.0,31651.31,52.8,Medium,Supplier / Material Delay,0,0.5499703298064276,1
WO-0037,Atlas Comms,Ground Support Bracket,Cell D,Urgent,Ready for Delivery,2026-05-03,2026-06-03,2026-05-26,0,True,0,True,False,4,0,83.4,80.2,982.19,40.6,Medium,Priority Pressure,0,0.48491449170810336,0
WO-0038,Viper Ground,Guidance Assembly,Cell D,Low,Material Hold,2026-04-19,2026-05-21,2026-05-21,0,True,0,False,False,4,1,67.0,100.0,1357.69,18.4,Low,Machine Capacity,0,0.37479207296659517,0
WO-0039,Falcon Shield,Guidance Assembly,Cell A,High,Inspection,2026-05-07,2026-05-16,2026-05-22,6,True,0,False,False,2,1,100.0,58.8,689.55,44.8,Medium,Schedule Delay,1,0.6059415387449237,1
WO-0040,Viper Ground,Flight Control Subassembly,Cell C,Low,Rework,2026-05-24,2026-05-31,2026-06-05,5,False,14,False,False,0,1,96.0,83.4,23422.53,62.8,High,Supplier / Material Delay,1,0.6498417380514692,1
WO-0041,Orion Sensor,Flight Control Subassembly,Cell E,Urgent,Material Hold,2026-04-13,2026-05-13,2026-05-13,0,True,0,False,False,5,1,94.6,90.1,1624.07,27.8,Low,Priority Pressure,0,0.2945711548430425,0
WO-0042,Viper Ground,Flight Control Subassembly,Cell B,High,Ready for Delivery,2026-05-20,2026-05-30,2026-06-01,2,True,0,True,False,4,2,95.6,100.0,2558.26,36.6,Medium,Quality / Rework,1,0.6695645777754056,1
WO-0043,Orion Sensor,Flight Control Subassembly,Cell B,Urgent,In Progress,2026-05-02,2026-05-28,2026-06-07,10,True,0,False,False,0,1,98.4,100.0,463.44,52.8,Medium,Schedule Delay,1,0.5490007095728432,1
WO-0044,Horizon ISR,Flight Control Subassembly,Cell A,Urgent,Inspection,2026-04-12,2026-04-24,2026-05-12,18,True,0,False,False,2,2,100.0,94.3,1773.32,58.4,High,Schedule Delay,1,0.5975341823445006,1
WO-0045,Atlas Comms,Flight Control Subassembly,Cell B,Medium,Inspection,2026-05-15,2026-05-24,2026-05-25,1,True,0,False,True,11,0,100.0,77.8,1933.18,39.6,Medium,Quality / Rework,1,0.7239331690086478,1
WO-0046,Horizon ISR,Guidance Assembly,Cell A,Urgent,In Progress,2026-04-26,2026-05-17,2026-05-15,0,False,24,True,False,2,0,97.7,83.8,34557.74,72.8,High,Supplier / Material Delay,0,0.3730598358360666,0
WO-0047,Orion Sensor,Guidance Assembly,Cell C,Medium,Inspection,2026-05-23,2026-06-18,2026-07-07,19,True,0,False,False,2,0,86.6,88.2,372.18,39.8,Medium,Schedule Delay,1,0.6693922373986494,1
WO-0048,Viper Ground,Sensor Housing,Cell E,Medium,Inspection,2026-04-27,2026-05-18,2026-05-27,9,True,0,False,False,0,0,86.2,93.4,0.0,33.8,Medium,Schedule Delay,1,0.5625725536126743,1
WO-0049,Horizon ISR,Flight Control Subassembly,Cell B,Low,In Progress,2026-04-02,2026-04-30,2026-05-01,1,True,0,False,False,0,3,89.7,99.7,3449.91,11.6,Low,Quality / Rework,1,0.6237406316721981,1
WO-0050,Falcon Shield,Sensor Housing,Cell E,Medium,Ready for Delivery,2026-04-22,2026-05-17,2026-05-07,0,False,17,False,False,10,0,82.5,100.0,29692.28,64.0,High,Supplier / Material Delay,0,0.39644269857628434,0
WO-0051,Orion Sensor,Sensor Housing,Cell E,Low,In Progress,2026-04-21,2026-05-07,2026-05-14,7,False,19,False,False,1,0,98.4,100.0,21038.5,63.8,High,Supplier / Material Delay,1,0.6410401506234842,1
WO-0052,Viper Ground,Flight Control Subassembly,Cell B,Medium,In Progress,2026-04-10,2026-04-20,2026-04-10,0,True,0,False,False,4,1,91.1,99.8,1668.96,13.4,Low,Quality / Rework,0,0.41693220891035804,0
WO-0053,Atlas Comms,Power Module,Cell D,Low,Inspection,2026-05-23,2026-06-07,2026-06-07,0,False,9,False,False,8,0,94.2,84.3,13280.72,48.8,Medium,Supplier / Material Delay,0,0.3834658214310182,0
WO-0054,Viper Ground,Power Module,Cell B,Low,In Progress,2026-05-14,2026-05-29,2026-06-07,9,True,0,True,False,0,0,100.0,85.3,0.0,36.8,Medium,Schedule Delay,1,0.5843423737750837,1
WO-0055,Atlas Comms,Sensor Housing,Cell A,Urgent,In Progress,2026-05-18,2026-06-20,2026-06-25,5,True,0,True,False,7,2,96.3,100.0,3489.29,57.4,High,Priority Pressure,1,0.7144177362912956,1
WO-0056,Atlas Comms,Comms Enclosure,Cell D,Medium,Ready for Delivery,2026-04-09,2026-04-29,2026-05-05,6,True,0,False,False,2,2,87.5,95.5,1923.65,32.6,Medium,Schedule Delay,1,0.6531856514130611,1
WO-0057,Orion Sensor,Flight Control Subassembly,Cell C,Urgent,Inspection,2026-05-12,2026-05-24,2026-05-11,0,True,0,False,False,0,1,100.0,97.7,715.75,20.8,Low,Priority Pressure,0,0.3540412403234989,0
WO-0058,Orion Sensor,Comms Enclosure,Cell B,Medium,In Progress,2026-05-01,2026-05-08,2026-05-08,0,True,0,False,False,0,1,84.8,76.7,567.3,16.8,Low,Machine Capacity,0,0.31789007224664345,0
WO-0059,Atlas Comms,Comms Enclosure,Cell E,High,Material Hold,2026-03-31,2026-04-25,2026-04-25,0,True,0,False,False,3,2,86.0,74.4,2814.26,29.8,Low,Priority Pressure,0,0.3495222396874118,0
WO-0060,Atlas Comms,Power Module,Cell E,Medium,Inspection,2026-05-14,2026-06-01,2026-05-29,0,True,0,False,False,0,4,82.0,83.6,3705.67,25.2,Low,Quality / Rework,0,0.4124483448102534,0
WO-0061,Orion Sensor,Sensor Housing,Cell E,Medium,Material Hold,2026-04-08,2026-04-16,2026-04-12,0,False,5,False,False,2,2,87.2,83.4,7730.63,41.4,Medium,Supplier / Material Delay,0,0.33088040601762486,0
WO-0062,Falcon Shield,Power Module,Cell C,Low,In Progress,2026-04-04,2026-04-21,2026-04-21,0,True,0,False,False,7,1,100.0,70.2,2514.08,21.6,Low,Quality / Rework,0,0.33653979735359246,0
WO-0063,Orion Sensor,Ground Support Bracket,Cell C,Urgent,Material Hold,2026-05-14,2026-06-12,2026-06-07,0,False,15,False,True,8,2,86.0,88.1,27947.99,86.8,Critical,Supplier / Material Delay,0,0.3179094720868525,0
WO-0064,Viper Ground,Sensor Housing,Cell D,Medium,Material Hold,2026-04-30,2026-05-06,2026-05-11,5,False,8,False,True,16,1,100.0,82.7,16769.94,87.0,Critical,Quality / Rework,1,0.653246160896826,1
WO-0065,Atlas Comms,Power Module,Cell B,Low,In Progress,2026-04-21,2026-05-12,2026-05-01,0,True,0,True,False,6,1,81.3,91.3,1731.61,24.2,Low,Quality / Rework,0,0.4187475861059629,0
WO-0066,Atlas Comms,Comms Enclosure,Cell C,Medium,Ready for Delivery,2026-05-03,2026-06-05,2026-06-06,1,False,13,False,True,11,2,100.0,100.0,20886.99,81.2,Critical,Supplier / Material Delay,1,0.7432046211215368,1
WO-0067,Orion Sensor,Comms Enclosure,Cell C,High,In Progress,2026-03-31,2026-04-30,2026-04-30,0,True,0,True,False,3,2,99.4,81.2,2673.83,32.8,Medium,Priority Pressure,0,0.273796648602493,0
WO-0068,Falcon Shield,Ground Support Bracket,Cell B,High,In Progress,2026-04-23,2026-05-25,2026-06-06,12,True,0,False,False,9,0,93.3,72.1,1625.89,64.6,High,Schedule Delay,1,0.6650127770394374,1
WO-0069,Viper Ground,Comms Enclosure,Cell A,High,In Progress,2026-05-16,2026-05-26,2026-06-03,8,False,8,False,False,0,0,80.6,92.1,11310.51,72.8,High,Supplier / Material Delay,1,0.6273782078065029,1
WO-0070,Atlas Comms,Flight Control Subassembly,Cell A,Urgent,In Progress,2026-05-02,2026-05-08,2026-05-16,8,True,0,False,False,2,1,95.6,72.3,918.23,58.2,High,Schedule Delay,1,0.5805796048042686,1
WO-0071,Atlas Comms,Sensor Housing,Cell D,Medium,In Progress,2026-05-01,2026-05-14,2026-05-19,5,True,0,False,False,3,1,89.4,99.3,1539.52,28.0,Low,Schedule Delay,1,0.607027787334291,1
WO-0072,Falcon Shield,Comms Enclosure,Cell A,Urgent,Material Hold,2026-05-14,2026-06-06,2026-05-31,0,False,21,True,True,3,2,72.3,100.0,28327.4,97.8,Critical,Supplier / Material Delay,0,0.543404798987097,1
WO-0073,Atlas Comms,Sensor Housing,Cell E,Medium,Material Hold,2026-04-23,2026-05-17,2026-05-27,10,False,20,False,False,5,1,100.0,79.6,35656.98,90.8,Critical,Supplier / Material Delay,1,0.6354187892381032,1
WO-0074,Falcon Shield,Comms Enclosure,Cell B,Low,Material Hold,2026-05-09,2026-06-03,2026-05-31,0,True,0,False,False,3,1,91.9,81.9,1310.36,11.0,Low,Quality / Rework,0,0.23552450618224344,0
WO-0075,Horizon ISR,Sensor Housing,Cell D,High,Inspection,2026-04-24,2026-05-23,2026-05-31,8,True,0,False,False,0,0,71.1,78.3,0.0,50.6,Medium,Schedule Delay,1,0.542017520992851,1
WO-0076,Horizon ISR,Comms Enclosure,Cell B,Low,In Progress,2026-04-19,2026-05-01,2026-05-12,11,True,0,True,True,10,5,98.2,100.0,3334.54,80.0,Critical,Quality / Rework,1,0.7355473278975481,1
WO-0077,Horizon ISR,Comms Enclosure,Cell B,Medium,Material Hold,2026-04-05,2026-04-14,2026-04-14,0,True,0,True,False,4,1,99.0,90.9,1279.13,21.4,Low,Quality / Rework,0,0.208871039475414,0
WO-0078,Viper Ground,Power Module,Cell A,High,Material Hold,2026-05-19,2026-06-13,2026-06-15,2,True,0,False,False,0,2,98.4,92.9,1627.1,23.0,Low,Priority Pressure,1,0.46587103044744055,0
WO-0079,Viper Ground,Flight Control Subassembly,Cell C,High,Rework,2026-04-18,2026-05-08,2026-05-12,4,True,0,False,False,6,3,68.6,99.0,3468.03,50.6,Medium,Quality / Rework,1,0.662505673124694,1
WO-0080,Viper Ground,Flight Control Subassembly,Cell B,High,In Progress,2026-05-10,2026-06-06,2026-06-16,10,True,0,False,True,4,2,74.8,65.8,1884.88,85.2,Critical,Schedule Delay,1,0.7048058305390921,1
WO-0081,Atlas Comms,Ground Support Bracket,Cell E,Medium,In Progress,2026-04-13,2026-04-27,2026-04-28,1,True,0,False,False,10,1,68.4,88.4,3189.57,35.0,Medium,Quality / Rework,1,0.6967152950626031,1
WO-0082,Orion Sensor,Comms Enclosure,Cell B,Medium,Ready for Delivery,2026-05-16,2026-06-10,2026-06-10,0,False,17,False,False,3,1,82.4,80.0,27081.94,61.0,High,Supplier / Material Delay,0,0.27513656889572125,0
WO-0083,Falcon Shield,Comms Enclosure,Cell E,High,Ready for Delivery,2026-04-25,2026-05-24,2026-05-18,0,False,9,False,False,2,0,89.9,72.9,16275.1,56.4,High,Supplier / Material Delay,0,0.26226695063587974,0
WO-0084,Atlas Comms,Comms Enclosure,Cell D,High,Rework,2026-05-24,2026-06-19,2026-06-20,1,True,0,False,False,2,1,100.0,81.8,1005.87,23.8,Low,Priority Pressure,1,0.539677901986582,1
WO-0085,Atlas Comms,Sensor Housing,Cell A,Medium,Inspection,2026-04-18,2026-04-26,2026-04-26,0,True,0,False,False,0,0,100.0,59.5,0.0,14.0,Low,Labor Capacity,0,0.43518757493389604,0
WO-0086,Horizon ISR,Guidance Assembly,Cell D,Medium,In Progress,2026-04-24,2026-04-30,2026-05-05,5,True,0,False,False,0,1,100.0,78.7,538.41,27.8,Low,Schedule Delay,1,0.5169134392301861,1
WO-0087,Viper Ground,Sensor Housing,Cell A,Urgent,Inspection,2026-04-05,2026-04-18,2026-04-12,0,False,7,True,False,12,1,95.6,64.2,11285.06,82.6,Critical,Supplier / Material Delay,0,0.4226195424844741,0
WO-0088,Horizon ISR,Comms Enclosure,Cell C,Low,Ready for Delivery,2026-05-21,2026-06-02,2026-05-29,0,False,17,False,False,2,1,86.7,73.3,27070.34,54.6,Medium,Supplier / Material Delay,0,0.28846795473634856,0
WO-0089,Horizon ISR,Sensor Housing,Cell C,Medium,Inspection,2026-05-09,2026-06-06,2026-06-15,9,True,0,False,True,6,3,81.7,91.1,2813.38,67.6,High,Schedule Delay,1,0.7690896725080889,1
WO-0090,Viper Ground,Flight Control Subassembly,Cell A,Medium,In Progress,2026-04-02,2026-04-26,2026-04-28,2,False,8,False,False,1,0,89.0,84.6,13762.94,48.0,Medium,Supplier / Material Delay,1,0.627243874591609,1
WO-0091,Orion Sensor,Ground Support Bracket,Cell B,Medium,In Progress,2026-04-26,2026-05-02,2026-05-07,5,True,0,False,False,2,2,75.7,90.2,2270.41,34.4,Medium,Schedule Delay,1,0.5962816098317958,1
WO-0092,Atlas Comms,Ground Support Bracket,Cell C,Medium,In Progress,2026-05-14,2026-06-15,2026-06-14,0,True,0,False,False,3,0,96.7,79.6,613.07,13.2,Low,Priority Pressure,0,0.30964295072860315,0
WO-0093,Viper Ground,Comms Enclosure,Cell E,High,Inspection,2026-04-10,2026-05-02,2026-05-04,2,False,21,True,True,4,2,79.5,98.0,32494.23,93.6,Critical,Supplier / Material Delay,1,0.6000647666820731,1
WO-0094,Horizon ISR,Sensor Housing,Cell B,Medium,Material Hold,2026-05-08,2026-05-30,2026-05-22,0,True,0,False,False,0,0,98.5,96.7,0.0,5.0,Low,Priority Pressure,0,0.33155334371193174,0
WO-0095,Viper Ground,Sensor Housing,Cell C,Medium,In Progress,2026-04-12,2026-05-07,2026-05-10,3,True,0,True,True,11,2,71.3,75.3,3672.28,69.6,High,Quality / Rework,1,0.8141875008908719,1
WO-0096,Atlas Comms,Flight Control Subassembly,Cell A,High,In Progress,2026-05-07,2026-05-21,2026-05-23,2,False,19,False,False,3,0,91.9,83.7,31164.57,65.6,High,Supplier / Material Delay,1,0.612723212042684,1
WO-0097,Horizon ISR,Sensor Housing,Cell D,Medium,Rework,2026-04-23,2026-05-10,2026-05-14,4,True,0,False,True,2,0,90.8,79.6,243.39,36.6,Medium,Quality / Rework,1,0.6286602970423559,1
WO-0098,Falcon Shield,Guidance Assembly,Cell A,Medium,In Progress,2026-04-06,2026-04-29,2026-04-27,0,True,0,False,False,0,1,100.0,75.4,853.51,11.8,Low,Priority Pressure,0,0.42373120279232696,0
WO-0099,Falcon Shield,Guidance Assembly,Cell C,High,In Progress,2026-05-19,2026-06-02,2026-05-30,0,False,24,False,False,6,0,100.0,91.9,23357.77,59.4,High,Supplier / Material Delay,0,0.40267300135534095,0
WO-0100,Viper Ground,Power Module,Cell C,Medium,Inspection,2026-05-19,2026-06-14,2026-06-17,3,True,0,False,True,5,2,97.0,81.0,3231.62,43.2,Medium,Quality / Rework,1,0.6010699743659116,1
WO-0101,Atlas Comms,Ground Support Bracket,Cell D,High,Rework,2026-04-12,2026-05-04,2026-05-07,3,True,0,False,False,0,0,82.9,72.8,0.0,34.6,Medium,Priority Pressure,1,0.5004245784300307,1
WO-0102,Atlas Comms,Sensor Housing,Cell A,Medium,Inspection,2026-05-16,2026-05-28,2026-05-28,0,True,0,False,False,1,1,85.5,74.1,1077.02,18.2,Low,Labor Capacity,0,0.44907235445542254,0
WO-0103,Viper Ground,Ground Support Bracket,Cell D,High,Ready for Delivery,2026-05-05,2026-05-31,2026-06-02,2,False,16,False,False,3,0,70.6,70.5,19528.89,80.6,Critical,Supplier / Material Delay,1,0.4389651422376479,0
WO-0104,Horizon ISR,Sensor Housing,Cell D,High,Material Hold,2026-05-04,2026-06-03,2026-05-26,0,True,0,True,False,0,0,100.0,78.0,0.0,23.0,Low,Priority Pressure,0,0.40342851453381773,0
WO-0105,Falcon Shield,Guidance Assembly,Cell B,Medium,In Progress,2026-05-03,2026-06-06,2026-06-03,0,False,19,False,False,6,1,100.0,97.9,33002.9,56.2,High,Supplier / Material Delay,0,0.3001792095307722,0
WO-0106,Orion Sensor,Sensor Housing,Cell C,Low,In Progress,2026-04-27,2026-05-28,2026-06-03,6,True,0,True,False,6,3,72.1,85.8,3317.45,54.0,Medium,Schedule Delay,1,0.5432604706857704,1
WO-0107,Orion Sensor,Power Module,Cell A,High,In Progress,2026-05-23,2026-06-09,2026-06-13,4,False,21,False,False,2,1,94.2,78.5,22640.49,73.4,High,Supplier / Material Delay,1,0.5755062013403089,1
WO-0108,Falcon Shield,Ground Support Bracket,Cell D,Low,In Progress,2026-05-10,2026-06-05,2026-06-03,0,True,0,False,False,0,2,76.6,72.6,1082.65,19.6,Low,Labor Capacity,0,0.4169114415327605,0
WO-0109,Orion Sensor,Ground Support Bracket,Cell B,Low,Material Hold,2026-05-12,2026-06-10,2026-06-02,0,False,8,False,True,0,2,91.0,87.2,12130.79,48.8,Medium,Supplier / Material Delay,0,0.2921691212938636,0
WO-0110,Orion Sensor,Power Module,Cell A,High,Inspection,2026-05-06,2026-06-03,2026-05-27,0,False,14,False,True,0,2,82.9,78.4,21342.98,77.6,Critical,Supplier / Material Delay,0,0.41312313788617094,0
WO-0111,Viper Ground,Power Module,Cell B,Urgent,Rework,2026-05-03,2026-05-13,2026-05-17,4,True,0,True,False,0,1,85.6,84.0,1008.27,45.6,Medium,Priority Pressure,1,0.7224565333126218,1
WO-0112,Falcon Shield,Sensor Housing,Cell A,Low,In Progress,2026-05-18,2026-05-29,2026-05-30,1,True,0,False,True,11,1,92.3,74.3,3158.34,42.4,Medium,Quality / Rework,1,0.6509507603679209,1
WO-0113,Falcon Shield,Comms Enclosure,Cell E,High,Rework,2026-05-13,2026-05-18,2026-05-27,9,True,0,False,False,0,0,86.5,73.7,0.0,48.8,Medium,Schedule Delay,1,0.5434986361053733,1
WO-0114,Horizon ISR,Comms Enclosure,Cell C,Medium,Rework,2026-05-16,2026-06-04,2026-06-05,1,True,0,False,False,6,1,98.0,80.0,1320.01,23.4,Low,Quality / Rework,1,0.4565072646111783,0
WO-0115,Falcon Shield,Comms Enclosure,Cell A,High,In Progress,2026-05-15,2026-06-10,2026-06-05,0,False,15,False,False,7,1,75.3,92.0,17346.29,68.6,High,Supplier / Material Delay,0,0.32714577988264665,0
WO-0116,Horizon ISR,Comms Enclosure,Cell B,Low,In Progress,2026-04-04,2026-04-11,2026-04-14,3,False,20,True,False,0,0,72.1,100.0,32746.59,67.6,High,Supplier / Material Delay,1,0.6185981372094456,1
WO-0117,Viper Ground,Flight Control Subassembly,Cell A,High,Ready for Delivery,2026-05-21,2026-05-27,2026-05-24,0,True,0,False,False,0,2,100.0,80.0,1185.19,20.6,Low,Priority Pressure,0,0.3956605377663749,0
WO-0118,Atlas Comms,Power Module,Cell B,Medium,Inspection,2026-05-24,2026-06-20,2026-06-20,0,False,17,False,False,0,3,94.2,88.5,21993.37,53.4,Medium,Supplier / Material Delay,0,0.5466989369836041,1
WO-0119,Viper Ground,Comms Enclosure,Cell E,Urgent,Material Hold,2026-05-05,2026-05-30,2026-05-16,0,False,16,False,True,10,2,83.1,85.1,32623.2,94.6,Critical,Supplier / Material Delay,0,0.5101719320398301,1
WO-0120,Atlas Comms,Guidance Assembly,Cell C,High,Inspection,2026-05-24,2026-06-22,2026-06-27,5,True,0,False,False,0,0,85.3,81.1,0.0,31.0,Medium,Schedule Delay,1,0.6185114977301606,1
