work_order_id,program,part_category,production_cell,priority_level,status,planned_start_date,planned_completion_date,forecast_completion_date,days_behind_schedule,material_available,supplier_delay_days,inspection_hold,quality_hold,rework_hours,defect_count,machine_availability_pct,labor_capacity_pct,estimated_cost_impact
WO-0033,Horizon ISR,Flight Control Subassembly,Cell E,High,Inspection,2026-05-24,2026-06-13,2026-06-07,0,True,0,False,False,4,0,76.2,93.1,574.6
WO-0034,Atlas Comms,Ground Support Bracket,Cell D,Medium,In Progress,2026-04-11,2026-05-11,2026-05-04,0,True,0,False,False,0,0,73.3,86.6,0.0
WO-0035,Falcon Shield,Ground Support Bracket,Cell D,Low,In Progress,2026-04-21,2026-05-09,2026-04-30,0,True,0,False,True,12,3,98.2,72.2,3889.47
WO-0036,Orion Sensor,Guidance Assembly,Cell E,Medium,Material Hold,2026-05-08,2026-06-03,2026-05-30,0,False,22,False,False,0,1,84.4,100.0,31651.31
WO-0037,Atlas Comms,Ground Support Bracket,Cell D,Urgent,Ready for Delivery,2026-05-03,2026-06-03,2026-05-26,0,True,0,True,False,4,0,83.4,80.2,982.19
WO-0038,Viper Ground,Guidance Assembly,Cell D,Low,Material Hold,2026-04-19,2026-05-21,2026-05-21,0,True,0,False,False,4,1,67.0,100.0,1357.69
WO-0039,Falcon Shield,Guidance Assembly,Cell A,High,Inspection,2026-05-07,2026-05-16,2026-05-22,6,True,0,False,False,2,1,100.0,58.8,689.55
WO-0040,Viper Ground,Flight Control Subassembly,Cell C,Low,Rework,2026-05-24,2026-05-31,2026-06-05,5,False,14,False,False,0,1,96.0,83.4,23422.53
WO-0041,Orion Sensor,Flight Control Subassembly,Cell E,Urgent,Material Hold,2026-04-13,2026-05-13,2026-05-13,0,True,0,False,False,5,1,94.6,90.1,1624.07
WO-0042,Viper Ground,Flight Control Subassembly,Cell B,High,Ready for Delivery,2026-05-20,2026-05-30,2026-06-01,2,True,0,True,False,4,2,95.6,100.0,2558.26
WO-0043,Orion Sensor,Flight Control Subassembly,Cell B,Urgent,In Progress,2026-05-02,2026-05-28,2026-06-07,10,True,0,False,False,0,1,98.4,100.0,463.44
WO-0044,Horizon ISR,Flight Control Subassembly,Cell A,Urgent,Inspection,2026-04-12,2026-04-24,2026-05-12,18,True,0,False,False,2,2,100.0,94.3,1773.32
WO-0045,Atlas Comms,Flight Control Subassembly,Cell B,Medium,Inspection,2026-05-15,2026-05-24,2026-05-25,1,True,0,False,True,11,0,100.0,77.8,1933.18
WO-0046,Horizon ISR,Guidance Assembly,Cell A,Urgent,In Progress,2026-04-26,2026-05-17,2026-05-15,0,False,24,True,False,2,0,97.7,83.8,34557.74
WO-0047,Orion Sensor,Guidance Assembly,Cell C,Medium,Inspection,2026-05-23,2026-06-18,2026-07-07,19,True,0,False,False,2,0,86.6,88.2,372.18
WO-0048,Viper Ground,Sensor Housing,Cell E,Medium,Inspection,2026-04-27,2026-05-18,2026-05-27,9,True,0,False,False,0,0,86.2,93.4,0.0
WO-0049,Horizon ISR,Flight Control Subassembly,Cell B,Low,In Progress,2026-04-02,2026-04-30,2026-05-01,1,True,0,False,False,0,3,89.7,99.7,3449.91
WO-0050,Falcon Shield,Sensor Housing,Cell E,Medium,Ready for Delivery,2026-04-22,2026-05-17,2026-05-07,0,False,17,False,False,10,0,82.5,100.0,29692.28
WO-0051,Orion Sensor,Sensor Housing,Cell E,Low,In Progress,2026-04-21,2026-05-07,2026-05-14,7,False,19,False,False,1,0,98.4,100.0,21038.5
WO-0052,Viper Ground,Flight Control Subassembly,Cell B,Medium,In Progress,2026-04-10,2026-04-20,2026-04-10,0,True,0,False,False,4,1,91.1,99.8,1668.96
WO-0053,Atlas Comms,Power Module,Cell D,Low,Inspection,2026-05-23,2026-06-07,2026-06-07,0,False,9,False,False,8,0,94.2,84.3,13280.72
WO-0054,Viper Ground,Power Module,Cell B,Low,In Progress,2026-05-14,2026-05-29,2026-06-07,9,True,0,True,False,0,0,100.0,85.3,0.0
WO-0055,Atlas Comms,Sensor Housing,Cell A,Urgent,In Progress,2026-05-18,2026-06-20,2026-06-25,5,True,0,True,False,7,2,96.3,100.0,3489.29
WO-0056,Atlas Comms,Comms Enclosure,Cell D,Medium,Ready for Delivery,2026-04-09,2026-04-29,2026-05-05,6,True,0,False,False,2,2,87.5,95.5,1923.65
WO-0057,Orion Sensor,Flight Control Subassembly,Cell C,Urgent,Inspection,2026-05-12,2026-05-24,2026-05-11,0,True,0,False,False,0,1,100.0,97.7,715.75
WO-0058,Orion Sensor,Comms Enclosure,Cell B,Medium,In Progress,2026-05-01,2026-05-08,2026-05-08,0,True,0,False,False,0,1,84.8,76.7,567.3
WO-0059,Atlas Comms,Comms Enclosure,Cell E,High,Material Hold,2026-03-31,2026-04-25,2026-04-25,0,True,0,False,False,3,2,86.0,74.4,2814.26
WO-0060,Atlas Comms,Power Module,Cell E,Medium,Inspection,2026-05-14,2026-06-01,2026-05-29,0,True,0,False,False,0,4,82.0,83.6,3705.67
WO-0061,Orion Sensor,Sensor Housing,Cell E,Medium,Material Hold,2026-04-08,2026-04-16,2026-04-12,0,False,5,False,False,2,2,87.2,83.4,7730.63
WO-0062,Falcon Shield,Power Module,Cell C,Low,In Progress,2026-04-04,2026-04-21,2026-04-21,0,True,0,False,False,7,1,100.0,70.2,2514.08
WO-0063,Orion Sensor,Ground Support Bracket,Cell C,Urgent,Material Hold,2026-05-14,2026-06-12,2026-06-07,0,False,15,False,True,8,2,86.0,88.1,27947.99
WO-0064,Viper Ground,Sensor Housing,Cell D,Medium,Material Hold,2026-04-30,2026-05-06,2026-05-11,5,False,8,False,True,16,1,100.0,82.7,16769.94
WO-0065,Atlas Comms,Power Module,Cell B,Low,In Progress,2026-04-21,2026-05-12,2026-05-01,0,True,0,True,False,6,1,81.3,91.3,1731.61
WO-0066,Atlas Comms,Comms Enclosure,Cell C,Medium,Ready for Delivery,2026-05-03,2026-06-05,2026-06-06,1,False,13,False,True,11,2,100.0,100.0,20886.99
WO-0067,Orion Sensor,Comms Enclosure,Cell C,High,In Progress,2026-03-31,2026-04-30,2026-04-30,0,True,0,True,False,3,2,99.4,81.2,2673.83
WO-0068,Falcon Shield,Ground Support Bracket,Cell B,High,In Progress,2026-04-23,2026-05-25,2026-06-06,12,True,0,False,False,9,0,93.3,72.1,1625.89
WO-0069,Viper Ground,Comms Enclosure,Cell A,High,In Progress,2026-05-16,2026-05-26,2026-06-03,8,False,8,False,False,0,0,80.6,92.1,11310.51
WO-0070,Atlas Comms,Flight Control Subassembly,Cell A,Urgent,In Progress,2026-05-02,2026-05-08,2026-05-16,8,True,0,False,False,2,1,95.6,72.3,918.23
WO-0071,Atlas Comms,Sensor Housing,Cell D,Medium,In Progress,2026-05-01,2026-05-14,2026-05-19,5,True,0,False,False,3,1,89.4,99.3,1539.52
WO-0072,Falcon Shield,Comms Enclosure,Cell A,Urgent,Material Hold,2026-05-14,2026-06-06,2026-05-31,0,False,21,True,True,3,2,72.3,100.0,28327.4
WO-0073,Atlas Comms,Sensor Housing,Cell E,Medium,Material Hold,2026-04-23,2026-05-17,2026-05-27,10,False,20,False,False,5,1,100.0,79.6,35656.98
WO-0074,Falcon Shield,Comms Enclosure,Cell B,Low,Material Hold,2026-05-09,2026-06-03,2026-05-31,0,True,0,False,False,3,1,91.9,81.9,1310.36
WO-0075,Horizon ISR,Sensor Housing,Cell D,High,Inspection,2026-04-24,2026-05-23,2026-05-31,8,True,0,False,False,0,0,71.1,78.3,0.0
WO-0076,Horizon ISR,Comms Enclosure,Cell B,Low,In Progress,2026-04-19,2026-05-01,2026-05-12,11,True,0,True,True,10,5,98.2,100.0,3334.54
WO-0077,Horizon ISR,Comms Enclosure,Cell B,Medium,Material Hold,2026-04-05,2026-04-14,2026-04-14,0,True,0,True,False,4,1,99.0,90.9,1279.13
WO-0078,Viper Ground,Power Module,Cell A,High,Material Hold,2026-05-19,2026-06-13,2026-06-15,2,True,0,False,False,0,2,98.4,92.9,1627.1
WO-0079,Viper Ground,Flight Control Subassembly,Cell C,High,Rework,2026-04-18,2026-05-08,2026-05-12,4,True,0,False,False,6,3,68.6,99.0,3468.03
WO-0080,Viper Ground,Flight Control Subassembly,Cell B,High,In Progress,2026-05-10,2026-06-06,2026-06-16,10,True,0,False,True,4,2,74.8,65.8,1884.88
WO-0081,Atlas Comms,Ground Support Bracket,Cell E,Medium,In Progress,2026-04-13,2026-04-27,2026-04-28,1,True,0,False,False,10,1,68.4,88.4,3189.57
WO-0082,Orion Sensor,Comms Enclosure,Cell B,Medium,Ready for Delivery,2026-05-16,2026-06-10,2026-06-10,0,False,17,False,False,3,1,82.4,80.0,27081.94
WO-0083,Falcon Shield,Comms Enclosure,Cell E,High,Ready for Delivery,2026-04-25,2026-05-24,2026-05-18,0,False,9,False,False,2,0,89.9,72.9,16275.1
WO-0084,Atlas Comms,Comms Enclosure,Cell D,High,Rework,2026-05-24,2026-06-19,2026-06-20,1,True,0,False,False,2,1,100.0,81.8,1005.87
WO-0085,Atlas Comms,Sensor Housing,Cell A,Medium,Inspection,2026-04-18,2026-04-26,2026-04-26,0,True,0,False,False,0,0,100.0,59.5,0.0
WO-0086,Horizon ISR,Guidance Assembly,Cell D,Medium,In Progress,2026-04-24,2026-04-30,2026-05-05,5,True,0,False,False,0,1,100.0,78.7,538.41
WO-0087,Viper Ground,Sensor Housing,Cell A,Urgent,Inspection,2026-04-05,2026-04-18,2026-04-12,0,False,7,True,False,12,1,95.6,64.2,11285.06
WO-0088,Horizon ISR,Comms Enclosure,Cell C,Low,Ready for Delivery,2026-05-21,2026-06-02,2026-05-29,0,False,17,False,False,2,1,86.7,73.3,27070.34
WO-0089,Horizon ISR,Sensor Housing,Cell C,Medium,Inspection,2026-05-09,2026-06-06,2026-06-15,9,True,0,False,True,6,3,81.7,91.1,2813.38
WO-0090,Viper Ground,Flight Control Subassembly,Cell A,Medium,In Progress,2026-04-02,2026-04-26,2026-04-28,2,False,8,False,False,1,0,89.0,84.6,13762.94
WO-0091,Orion Sensor,Ground Support Bracket,Cell B,Medium,In Progress,2026-04-26,2026-05-02,2026-05-07,5,True,0,False,False,2,2,75.7,90.2,2270.41
WO-0092,Atlas Comms,Ground Support Bracket,Cell C,Medium,In Progress,2026-05-14,2026-06-15,2026-06-14,0,True,0,False,False,3,0,96.7,79.6,613.07
WO-0093,Viper Ground,Comms Enclosure,Cell E,High,Inspection,2026-04-10,2026-05-02,2026-05-04,2,False,21,True,True,4,2,79.5,98.0,32494.23
WO-0094,Horizon ISR,Sensor Housing,Cell B,Medium,Material Hold,2026-05-08,2026-05-30,2026-05-22,0,True,0,False,False,0,0,98.5,96.7,0.0
WO-0095,Viper Ground,Sensor Housing,Cell C,Medium,In Progress,2026-04-12,2026-05-07,2026-05-10,3,True,0,True,True,11,2,71.3,75.3,3672.28
WO-0096,Atlas Comms,Flight Control Subassembly,Cell A,High,In Progress,2026-05-07,2026-05-21,2026-05-23,2,False,19,False,False,3,0,91.9,83.7,31164.57
WO-0097,Horizon ISR,Sensor Housing,Cell D,Medium,Rework,2026-04-23,2026-05-10,2026-05-14,4,True,0,False,True,2,0,90.8,79.6,243.39
WO-0098,Falcon Shield,Guidance Assembly,Cell A,Medium,In Progress,2026-04-06,2026-04-29,2026-04-27,0,True,0,False,False,0,1,100.0,75.4,853.51
WO-0099,Falcon Shield,Guidance Assembly,Cell C,High,In Progress,2026-05-19,2026-06-02,2026-05-30,0,False,24,False,False,6,0,100.0,91.9,23357.77
WO-0100,Viper Ground,Power Module,Cell C,Medium,Inspection,2026-05-19,2026-06-14,2026-06-17,3,True,0,False,True,5,2,97.0,81.0,3231.62
WO-0101,Atlas Comms,Ground Support Bracket,Cell D,High,Rework,2026-04-12,2026-05-04,2026-05-07,3,True,0,False,False,0,0,82.9,72.8,0.0
WO-0102,Atlas Comms,Sensor Housing,Cell A,Medium,Inspection,2026-05-16,2026-05-28,2026-05-28,0,True,0,False,False,1,1,85.5,74.1,1077.02
WO-0103,Viper Ground,Ground Support Bracket,Cell D,High,Ready for Delivery,2026-05-05,2026-05-31,2026-06-02,2,False,16,False,False,3,0,70.6,70.5,19528.89
WO-0104,Horizon ISR,Sensor Housing,Cell D,High,Material Hold,2026-05-04,2026-06-03,2026-05-26,0,True,0,True,False,0,0,100.0,78.0,0.0
WO-0105,Falcon Shield,Guidance Assembly,Cell B,Medium,In Progress,2026-05-03,2026-06-06,2026-06-03,0,False,19,False,False,6,1,100.0,97.9,33002.9
WO-0106,Orion Sensor,Sensor Housing,Cell C,Low,In Progress,2026-04-27,2026-05-28,2026-06-03,6,True,0,True,False,6,3,72.1,85.8,3317.45
WO-0107,Orion Sensor,Power Module,Cell A,High,In Progress,2026-05-23,2026-06-09,2026-06-13,4,False,21,False,False,2,1,94.2,78.5,22640.49
WO-0108,Falcon Shield,Ground Support Bracket,Cell D,Low,In Progress,2026-05-10,2026-06-05,2026-06-03,0,True,0,False,False,0,2,76.6,72.6,1082.65
WO-0109,Orion Sensor,Ground Support Bracket,Cell B,Low,Material Hold,2026-05-12,2026-06-10,2026-06-02,0,False,8,False,True,0,2,91.0,87.2,12130.79
WO-0110,Orion Sensor,Power Module,Cell A,High,Inspection,2026-05-06,2026-06-03,2026-05-27,0,False,14,False,True,0,2,82.9,78.4,21342.98
WO-0111,Viper Ground,Power Module,Cell B,Urgent,Rework,2026-05-03,2026-05-13,2026-05-17,4,True,0,True,False,0,1,85.6,84.0,1008.27
WO-0112,Falcon Shield,Sensor Housing,Cell A,Low,In Progress,2026-05-18,2026-05-29,2026-05-30,1,True,0,False,True,11,1,92.3,74.3,3158.34
WO-0113,Falcon Shield,Comms Enclosure,Cell E,High,Rework,2026-05-13,2026-05-18,2026-05-27,9,True,0,False,False,0,0,86.5,73.7,0.0
WO-0114,Horizon ISR,Comms Enclosure,Cell C,Medium,Rework,2026-05-16,2026-06-04,2026-06-05,1,True,0,False,False,6,1,98.0,80.0,1320.01
WO-0115,Falcon Shield,Comms Enclosure,Cell A,High,In Progress,2026-05-15,2026-06-10,2026-06-05,0,False,15,False,False,7,1,75.3,92.0,17346.29
WO-0116,Horizon ISR,Comms Enclosure,Cell B,Low,In Progress,2026-04-04,2026-04-11,2026-04-14,3,False,20,True,False,0,0,72.1,100.0,32746.59
WO-0117,Viper Ground,Flight Control Subassembly,Cell A,High,Ready for Delivery,2026-05-21,2026-05-27,2026-05-24,0,True,0,False,False,0,2,100.0,80.0,1185.19
WO-0118,Atlas Comms,Power Module,Cell B,Medium,Inspection,2026-05-24,2026-06-20,2026-06-20,0,False,17,False,False,0,3,94.2,88.5,21993.37
WO-0119,Viper Ground,Comms Enclosure,Cell E,Urgent,Material Hold,2026-05-05,2026-05-30,2026-05-16,0,False,16,False,True,10,2,83.1,85.1,32623.2
WO-0120,Atlas Comms,Guidance Assembly,Cell C,High,Inspection,2026-05-24,2026-06-22,2026-06-27,5,True,0,False,False,0,0,85.3,81.1,0.0
WO-0121,Horizon ISR,Ground Support Bracket,Cell D,Medium,Inspection,2026-04-03,2026-05-05,2026-05-08,3,True,0,False,False,6,1,86.7,83.6,2626.29
WO-0122,Orion Sensor,Comms Enclosure,Cell E,Low,Ready for Delivery,2026-05-22,2026-06-24,2026-06-22,0,False,4,False,False,2,0,55.6,95.5,5621.23
WO-0123,Horizon ISR,Comms Enclosure,Cell B,Urgent,In Progress,2026-05-07,2026-05-31,2026-06-05,5,True,0,True,False,7,2,77.2,73.0,2318.91
WO-0124,Horizon ISR,Ground Support Bracket,Cell A,Medium,In Progress,2026-05-11,2026-05-16,2026-05-08,0,True,0,False,False,0,2,100.0,76.2,1112.83
WO-0125,Horizon ISR,Guidance Assembly,Cell D,High,Ready for Delivery,2026-05-23,2026-06-26,2026-07-02,6,True,0,False,False,0,0,90.3,99.9,0.0
WO-0126,Falcon Shield,Comms Enclosure,Cell B,Low,Inspection,2026-05-22,2026-06-08,2026-05-29,0,False,9,False,False,6,0,97.7,93.5,16095.56
WO-0127,Atlas Comms,Comms Enclosure,Cell C,High,Inspection,2026-05-09,2026-06-02,2026-06-02,0,True,0,False,False,6,2,100.0,100.0,1695.0
WO-0128,Horizon ISR,Guidance Assembly,Cell E,Urgent,Inspection,2026-04-02,2026-04-22,2026-04-25,3,True,0,True,False,11,1,85.9,65.2,3295.34
WO-0129,Falcon Shield,Guidance Assembly,Cell D,Medium,Inspection,2026-05-13,2026-05-19,2026-05-14,0,True,0,False,True,0,2,84.7,85.0,680.6
WO-0130,Atlas Comms,Power Module,Cell C,Low,In Progress,2026-04-17,2026-05-19,2026-05-23,4,True,0,False,False,8,1,91.3,100.0,2554.31
WO-0131,Orion Sensor,Comms Enclosure,Cell A,Urgent,In Progress,2026-05-15,2026-06-10,2026-06-10,0,True,0,False,False,5,1,74.8,85.5,1631.52
WO-0132,Falcon Shield,Ground Support Bracket,Cell D,Medium,Rework,2026-05-16,2026-06-19,2026-06-10,0,True,0,False,False,0,2,100.0,100.0,950.32
WO-0133,Falcon Shield,Ground Support Bracket,Cell D,Urgent,In Progress,2026-04-03,2026-04-26,2026-04-29,3,False,15,False,False,0,1,91.5,98.6,16553.23
WO-0134,Orion Sensor,Comms Enclosure,Cell D,High,Inspection,2026-04-26,2026-05-21,2026-05-11,0,True,0,True,False,7,1,79.9,87.1,2944.42
WO-0135,Horizon ISR,Power Module,Cell A,Low,In Progress,2026-05-24,2026-06-23,2026-07-16,23,True,0,False,False,0,2,85.3,95.4,1664.53
WO-0136,Horizon ISR,Comms Enclosure,Cell B,Medium,Material Hold,2026-04-16,2026-05-07,2026-05-01,0,True,0,False,True,2,1,98.6,97.0,1256.91
WO-0137,Viper Ground,Flight Control Subassembly,Cell C,Medium,In Progress,2026-04-29,2026-05-28,2026-05-28,0,True,0,True,True,4,1,90.2,88.0,1437.26
WO-0138,Atlas Comms,Flight Control Subassembly,Cell E,High,Rework,2026-04-12,2026-04-29,2026-04-25,0,False,18,False,False,3,0,99.8,100.0,30715.64
WO-0139,Horizon ISR,Flight Control Subassembly,Cell D,Low,Rework,2026-04-16,2026-04-29,2026-04-28,0,True,0,False,False,0,2,86.4,100.0,1022.38
WO-0140,Falcon Shield,Sensor Housing,Cell A,Medium,Ready for Delivery,2026-04-17,2026-05-03,2026-04-22,0,True,0,False,True,5,0,78.1,100.0,632.8
WO-0141,Horizon ISR,Guidance Assembly,Cell B,Low,Inspection,2026-04-28,2026-05-30,2026-05-30,0,True,0,False,False,0,0,91.2,88.7,0.0
WO-0142,Orion Sensor,Guidance Assembly,Cell E,Medium,In Progress,2026-04-26,2026-05-25,2026-05-29,4,True,0,False,False,0,0,89.1,88.8,0.0
WO-0143,Horizon ISR,Ground Support Bracket,Cell E,Medium,In Progress,2026-05-10,2026-05-17,2026-05-08,0,True,0,False,True,4,3,82.6,100.0,2455.39
WO-0144,Orion Sensor,Ground Support Bracket,Cell D,Low,Material Hold,2026-04-06,2026-04-14,2026-04-09,0,True,0,False,False,7,0,90.3,83.9,896.93
WO-0145,Falcon Shield,Comms Enclosure,Cell B,High,Inspection,2026-04-12,2026-04-21,2026-04-23,2,True,0,False,False,2,2,84.9,92.2,1872.3
WO-0146,Horizon ISR,Comms Enclosure,Cell E,Urgent,Rework,2026-05-11,2026-06-11,2026-06-02,0,True,0,False,False,0,0,100.0,74.5,0.0
WO-0147,Falcon Shield,Ground Support Bracket,Cell D,High,Ready for Delivery,2026-04-08,2026-04-23,2026-04-26,3,True,0,False,False,7,2,91.6,93.9,3146.19
WO-0148,Viper Ground,Power Module,Cell C,High,Ready for Delivery,2026-04-27,2026-05-23,2026-05-16,0,True,0,True,False,0,0,92.7,100.0,0.0
WO-0149,Orion Sensor,Ground Support Bracket,Cell B,High,In Progress,2026-05-07,2026-06-04,2026-06-07,3,True,0,False,False,10,0,87.9,96.8,1781.9
WO-0150,Atlas Comms,Comms Enclosure,Cell D,Urgent,In Progress,2026-05-07,2026-06-10,2026-06-10,0,True,0,False,True,12,1,85.6,68.8,4102.23
WO-0151,Atlas Comms,Power Module,Cell E,Urgent,Ready for Delivery,2026-05-04,2026-06-05,2026-06-06,1,True,0,False,False,3,1,90.3,76.7,1890.65
WO-0152,Horizon ISR,Sensor Housing,Cell D,Low,Inspection,2026-04-07,2026-04-24,2026-04-27,3,True,0,False,False,4,2,94.7,91.8,2837.67
WO-0153,Orion Sensor,Flight Control Subassembly,Cell A,High,In Progress,2026-05-17,2026-06-17,2026-06-13,0,True,0,False,True,1,2,100.0,65.5,1527.94
WO-0154,Orion Sensor,Ground Support Bracket,Cell A,Urgent,Inspection,2026-04-19,2026-05-14,2026-05-24,10,True,0,False,False,0,0,88.2,72.6,0.0
WO-0155,Falcon Shield,Power Module,Cell D,High,In Progress,2026-04-10,2026-05-08,2026-05-12,4,True,0,False,False,15,1,85.7,98.9,3061.85
WO-0156,Horizon ISR,Ground Support Bracket,Cell E,High,In Progress,2026-04-14,2026-04-21,2026-04-04,0,False,10,True,False,2,1,80.2,100.0,13983.38
WO-0157,Falcon Shield,Flight Control Subassembly,Cell C,Urgent,In Progress,2026-05-23,2026-06-02,2026-05-29,0,True,0,False,True,0,3,96.2,69.9,3105.3
WO-0158,Viper Ground,Guidance Assembly,Cell C,High,In Progress,2026-04-15,2026-05-13,2026-05-15,2,True,0,False,False,9,0,89.6,61.5,1687.15
WO-0159,Viper Ground,Comms Enclosure,Cell E,High,Material Hold,2026-03-31,2026-04-29,2026-04-22,0,True,0,True,False,1,0,83.0,99.2,139.9
WO-0160,Orion Sensor,Guidance Assembly,Cell B,Medium,In Progress,2026-04-11,2026-05-01,2026-05-06,5,True,0,False,False,2,0,96.3,97.9,474.92
WO-0161,Viper Ground,Sensor Housing,Cell C,Medium,In Progress,2026-04-28,2026-05-21,2026-05-24,3,True,0,False,False,11,3,75.6,85.3,5293.85
WO-0162,Viper Ground,Flight Control Subassembly,Cell E,Low,Rework,2026-04-13,2026-05-11,2026-05-12,1,True,0,True,False,2,0,87.3,82.6,501.8
WO-0163,Falcon Shield,Guidance Assembly,Cell B,Medium,Ready for Delivery,2026-05-19,2026-06-08,2026-06-17,9,True,0,False,False,0,2,81.3,90.8,2294.29
